Graph Type,Size,Algorithm,Matching Size,Is Perfect,Runtime (s)
bipartite,10,Edmonds,5,True,0.00035762786865234375
bipartite,10,Edmonds,5,True,0.00029540061950683594
bipartite,10,Greedy,5,True,3.266334533691406e-05
bipartite,10,Greedy,5,True,2.5510787963867188e-05
bipartite,10,Hopcroft-Karp,10,False,0.0002715587615966797
bipartite,10,Hopcroft-Karp,10,False,0.00014066696166992188
bipartite,20,Edmonds,10,True,0.0007085800170898438
bipartite,20,Edmonds,10,True,0.0006418228149414062
bipartite,20,Greedy,9,False,5.412101745605469e-05
bipartite,20,Greedy,10,True,4.220008850097656e-05
bipartite,20,Hopcroft-Karp,20,False,0.0002453327178955078
bipartite,20,Hopcroft-Karp,20,False,0.00016546249389648438
bipartite,50,Edmonds,25,True,0.003324270248413086
bipartite,50,Edmonds,25,True,0.0029387474060058594
bipartite,50,Greedy,25,True,0.0001666545867919922
bipartite,50,Greedy,25,True,0.00015020370483398438
bipartite,50,Hopcroft-Karp,50,False,0.0005037784576416016
bipartite,50,Hopcroft-Karp,50,False,0.0004200935363769531
complete,10,Edmonds,5,True,0.0003802776336669922
complete,10,Edmonds,5,True,0.0003116130828857422
complete,10,Greedy,5,True,4.506111145019531e-05
complete,10,Greedy,5,True,2.7894973754882812e-05
complete,20,Edmonds,10,True,0.0010547637939453125
complete,20,Edmonds,10,True,0.0008947849273681641
complete,20,Greedy,10,True,8.606910705566406e-05
complete,20,Greedy,10,True,6.29425048828125e-05
complete,50,Edmonds,25,True,0.01666402816772461
complete,50,Edmonds,25,True,0.005558967590332031
complete,50,Edmonds,25,True,0.004783153533935547
complete,50,Greedy,25,True,0.00032782554626464844
complete,50,Greedy,25,True,0.0005388259887695312
complete,50,Greedy,25,True,0.00032973289489746094
random,10,Edmonds,5,True,0.0004551410675048828
random,10,Edmonds,5,True,0.0006706714630126953
random,10,Greedy,5,True,5.888938903808594e-05
random,10,Greedy,4,False,7.748603820800781e-05
random,20,Edmonds,10,True,0.0033082962036132812
random,20,Edmonds,10,True,0.0015606880187988281
random,20,Greedy,10,True,6.389617919921875e-05
random,20,Greedy,10,True,9.512901306152344e-05
random,50,Edmonds,25,True,0.002978801727294922
random,50,Edmonds,25,True,0.006479740142822266
random,50,Greedy,25,True,0.00018906593322753906
random,50,Greedy,24,False,0.00018143653869628906
